to_address, from_address, block_number, datetime, amount_ether
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6177446, '2018-08-19 13:21:36', 0.5015740281820539)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6182076, '2018-08-20 08:25:55', 0.5026262206024196)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6186577, '2018-08-21 02:22:24', 0.5038700379754005)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6191279, '2018-08-21 21:18:26', 0.5004658467388577)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6195897, '2018-08-22 15:59:26', 0.5038096983855569)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6200449, '2018-08-23 10:47:23', 0.5013869999098187)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6205056, '2018-08-24 05:25:39', 0.5030545215975141)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6209574, '2018-08-24 23:34:39', 0.5009595118649713)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6214208, '2018-08-25 18:30:52', 0.5030115067023312)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6218762, '2018-08-26 12:40:02', 0.5009030601069039)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6223545, '2018-08-27 08:06:07', 0.5018356431213579)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6228398, '2018-08-28 03:53:02', 0.5018579503252959)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6232890, '2018-08-28 22:08:27', 0.5006196384031348)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6237495, '2018-08-29 16:49:57', 0.5022276147885069)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6241982, '2018-08-30 11:10:33', 0.501374368458054)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6246526, '2018-08-31 05:19:23', 0.5012771527186747)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6251172, '2018-09-01 00:15:08', 0.5015900992038527)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6255774, '2018-09-01 19:05:31', 0.5000856154440684)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6260343, '2018-09-02 13:13:07', 0.5016258503800362)
